City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cherskiy,RU,2022-12-15 17:21:51,68.75,161.3,-45.89,100,52,2.04
68,Caravelas,BR,2022-12-15 17:21:51,-17.7125,-39.2481,68.07,97,100,5.75
69,Hilo,US,2022-12-15 17:19:19,19.7297,-155.09,71.26,85,100,9.22
70,Khatanga,RU,2022-12-15 17:21:52,71.9667,102.5,-27.51,100,99,4.7
71,Ouricuri,BR,2022-12-15 17:21:52,-7.8825,-40.0817,93.69,28,78,1.95
72,Ancud,CL,2022-12-15 17:21:52,-41.8697,-73.8203,61.0,57,90,9.42
73,Cocorit,MX,2022-12-15 17:21:53,27.5833,-109.9667,57.54,21,24,5.84
74,Kamiiso,JP,2022-12-15 17:21:53,41.8167,140.65,25.77,70,100,19.35
75,Mahebourg,MU,2022-12-15 17:21:53,-20.4081,57.7,77.29,78,40,8.05
76,Faya,SA,2022-12-15 17:21:54,18.3851,42.4509,57.31,72,69,3.87
77,Maceio,BR,2022-12-15 17:20:30,-9.6658,-35.7353,90.84,51,0,12.66
78,Ahuimanu,US,2022-12-15 17:21:54,21.4447,-157.8378,71.31,82,0,0.0
79,Callaway,US,2022-12-15 17:21:55,30.153,-85.5699,62.98,59,0,11.5
80,Torbay,CA,2022-12-15 17:21:55,47.6666,-52.7314,39.58,97,100,23.02
81,Esperance,AU,2022-12-15 17:21:55,-33.8667,121.9,58.51,79,5,12.75
82,Maragogi,BR,2022-12-15 17:21:56,-9.0122,-35.2225,84.4,59,56,13.87
83,Bilma,NE,2022-12-15 17:21:56,18.6853,12.9164,76.95,14,69,8.68
84,Kalmunai,LK,2022-12-15 17:21:57,7.4167,81.8167,76.41,79,73,7.67
85,Aklavik,CA,2022-12-15 17:21:57,68.2191,-135.0107,-10.77,92,5,7.63
86,Ust-Kuyga,RU,2022-12-15 17:21:57,70.0167,135.6,-48.66,100,96,3.91
87,Araouane,ML,2022-12-15 17:21:58,18.9048,-3.5265,82.06,9,0,5.21
88,Kodiak,US,2022-12-15 17:21:58,57.79,-152.4072,42.31,81,100,8.05
89,Bambous Virieux,MU,2022-12-15 17:22:58,-20.3428,57.7575,77.25,78,40,8.05
90,Ukiah,US,2022-12-15 17:22:59,39.1502,-123.2078,43.65,93,75,0.0
91,Pombas,CV,2022-12-15 17:22:59,17.1503,-25.0201,78.58,78,1,13.11
