City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Mataura,NZ,-46.1927,168.8643,63.48,64,100,2.71,moderate rain
80,Ewa Beach,US,21.3156,-158.0072,83.57,62,0,9.22,clear sky
81,Zamora,EC,-4.0692,-78.9567,78.04,91,85,2.24,light rain
82,Butia,BR,-30.1197,-51.9622,73.58,58,100,10.02,overcast clouds
83,Ridgecrest,US,35.6225,-117.6709,54.46,35,75,3.0,broken clouds
84,Upernavik,GL,72.7868,-56.1549,23.58,90,100,29.3,light snow
85,Saint Anthony,US,45.0205,-93.218,33.66,93,100,8.05,snow
86,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.89,77,79,0.98,broken clouds
87,Iqaluit,CA,63.7506,-68.5145,19.13,79,100,0.0,light snow
88,Karasjok,NO,69.4719,25.5112,25.02,88,100,17.67,overcast clouds
89,Enshi,CN,30.3,109.4833,42.98,80,96,1.45,overcast clouds
90,Kodiak,US,57.79,-152.4072,36.91,100,100,0.0,overcast clouds
91,Atuona,PF,-9.8,-139.0333,78.28,73,4,16.89,clear sky
92,Qaanaaq,GL,77.484,-69.3632,15.71,72,100,7.11,overcast clouds
93,Darhan,MN,49.4867,105.9228,-10.98,84,99,4.45,overcast clouds
94,Kuandian,CN,40.7286,124.7847,1.67,67,38,3.18,scattered clouds
95,Yulara,AU,-25.2406,130.9889,65.71,52,100,15.17,overcast clouds
96,Isangel,VU,-19.55,169.2667,82.51,65,40,2.3,scattered clouds
97,Cidreira,BR,-30.1811,-50.2056,72.14,83,100,9.48,overcast clouds
98,Thompson,CA,55.7435,-97.8558,19.56,93,100,12.66,light snow
99,Harper,LR,4.375,-7.7169,78.46,82,48,6.87,scattered clouds
100,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,82,20,9.75,few clouds
101,Kapit,MY,2.0167,112.9333,73.06,100,100,1.48,overcast clouds
102,Nong Phai,TH,15.9903,101.0618,63.55,80,74,4.5,broken clouds
103,Nakamura,JP,32.9833,132.9333,39.45,78,78,3.56,broken clouds
104,Isla Vista,US,34.4133,-119.861,61.99,79,0,5.75,clear sky
105,Talara,PE,-4.5772,-81.2719,77.76,65,40,12.66,scattered clouds
106,Pevek,RU,69.7008,170.3133,-28.05,91,40,1.23,scattered clouds
107,Cayenne,GF,4.9333,-52.3333,78.84,83,20,4.61,few clouds
