City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
443,Punta Gorda,US,73.98,26.9298,-82.0454,SpringHill Suites by Marriott Punta Gorda Harborside
452,Champoton,MX,79.11,19.35,-90.7167,Paraíso Beach
454,Manzanillo,CU,75.11,20.3433,-77.1167,Hotel Venus
458,Padang,ID,75.9,-0.9492,100.3543,losmen Surya
462,Boueni,YT,78.78,-12.9025,45.0761,La Case Robinson
464,Porbandar,IN,76.44,21.6422,69.6093,Toran Tourist Bungalow
472,Saint-Pierre,RE,76.68,-21.3393,55.4781,Tropic Hotel
476,Parana,AR,85.55,-31.732,-60.5238,Grand Hotel Alvear
480,Veraval,IN,75.76,20.9,70.3667,Shyam
485,Bandiagara,ML,74.16,14.3501,-3.6104,Hôtel Auberge Kansaye
492,Vanimo,PG,80.13,-2.6741,141.3028,CBC Guesthouse
516,Diffa,NE,71.87,13.3154,12.6113,UNHCR guest house
517,Sinnamary,GF,76.28,5.3833,-52.95,Hôtel du fleuve
518,Muisne,EC,74.64,0.6,-80.0333,Hostal Té de Menta
520,Sampit,ID,72.97,-2.5333,112.95,Hotel Sultan
521,Gbarnga,LR,70.63,6.9956,-9.4722,Passion Hotel #2
528,Victoria Point,AU,76.24,-27.5833,153.3,Seminara Appartments
529,Morant Bay,JM,81.72,17.8815,-76.4093,Morant Villas
532,Kudat,MY,77.34,6.8837,116.8477,Hotel Ria
533,Sao Fidelis,BR,73.35,-21.6461,-41.7469,Hotel São José
537,Cap Malheureux,MU,75.47,-19.9842,57.6142,Cape Garden
540,Negombo,LK,73.45,7.2083,79.8358,Choys Waterfront Residence
547,Monrovia,LR,76.77,6.3005,-10.7969,Bella Casa Hotel
552,Yenagoa,NG,76.86,4.9247,6.2642,Peretimi Hotels Ltd.
555,Tual,ID,81.59,-5.6667,132.75,Suita
566,Bairiki,KI,86.0,1.3292,172.9752,Marry's Motel
574,Resistencia,AR,82.09,-27.4606,-58.9839,Residencial Bariloche
578,Richards Bay,ZA,73.4,-28.783,32.0377,Protea Hotel
593,Porto Murtinho,BR,88.93,-21.6989,-57.8825,Hotel Saladero Cuê
606,Bubaque,GW,82.02,11.2833,-15.8333,Chez Julio
615,Takoradi,GH,79.2,4.8845,-1.7554,Hillcrest
625,Tocopilla,CL,70.93,-22.092,-70.1979,hotel Isidora
629,Mecca,SA,73.29,21.4267,39.8261,Rehab Al Marwa Hotel 1
637,Meulaboh,ID,75.96,4.1363,96.1285,Hotel Meuligou
639,Chapada Dos Guimaraes,BR,78.46,-15.4606,-55.7497,Pousada Rios
647,Ngunguru,NZ,70.29,-35.6167,174.5,Oceans Tutukaka
648,Niamey,NE,74.34,13.5137,2.1098,Redidence Croix du Sud
650,Cockburn Town,TC,77.99,21.4612,-71.1419,The Salt Raker Inn
651,Bombay,IN,80.58,19.0144,72.8479,Hotel City Point
654,Pemangkat,ID,76.05,1.1667,108.9667,Hotel Kelapa Gading
655,Gourcy,BF,71.2,13.2167,-2.35,Hôtel Cité Sàrl
660,Jaru,BR,75.83,-10.4389,-62.4664,Hotel avenida
664,Pontes E Lacerda,BR,75.7,-15.2261,-59.3353,Hotel Avenida
683,Puerto Carreno,CO,81.86,6.189,-67.4859,Carreño Plaza
686,Puerto Narino,CO,74.3,-3.7703,-70.3831,Eco Hotel Euare
690,Porto Novo,BJ,79.5,6.4965,2.6036,Hôtel 6500 CFA
